sale_id,sale_date,customer_id,dealer_id,salesperson_id,company_name,car_name,quantity,unit_price,total_price,payment_method,country
42,2024-06-13,CL0191,DL004,SP009,Mazda,Capella Cargo,1,18508.94,18508.94,Cash,France
43,2022-11-23,CL0433,DL013,SP014,Cadillac,Lyriq EV,1,56246.44,56246.44,Leasing,Brazil
44,2023-04-13,CL0249,DL001,SP012,BMW,I8 ROADSTER,3,175411.75,526235.25,Leasing,China
45,2023-12-08,CL0726,DL007,SP020,AUDI,S5 COUPE,2,65909.89,131819.78,Financing,Germany
46,2023-01-08,CL0191,DL007,SP019,Peugeot,308 Saloon,1,30694.03,30694.03,Leasing,Germany
47,2021-01-02,CL0781,DL006,SP018,Porsche,Taycan Turbo S,3,196725.78,590177.34,Leasing,China
48,2021-12-19,CL0289,DL007,SP018,Mazda,Mazda3,1,22031.7,22031.7,Financing,China
49,2024-12-21,CL0215,DL006,SP014,TOYOTA,SIENNA,2,45131.55,90263.1,Financing,Italy
50,2023-12-18,CL0577,DL010,SP015,Tata Motors,Zest,2,8823.18,17646.36,Financing,Brazil
51,2020-08-29,CL0307,DL001,SP007,Ford,Bronco (2024),3,48179.18,144537.54,Financing,China
52,2022-10-12,CL0101,DL015,SP019,TOYOTA,C-HR,3,22922.57,68767.71,Leasing,China
53,2023-09-17,CL0329,DL001,SP010,Mazda,Familia Astina,3,20462.04,61386.12,Leasing,Australia
54,2022-05-13,CL0044,DL007,SP008,MERCEDES,BENZ GLE 450,2,69294.92,138589.84,Leasing,France
55,2024-07-13,CL0644,DL010,SP020,ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,2,412540.05,825080.1,Financing,Italy
56,2023-12-15,CL0462,DL006,SP008,TOYOTA,MR2,3,31862.35,95587.05,Cash,China
57,2020-11-06,CL0150,DL005,SP011,Tata Motors,Altroz iTurbo,1,11138.03,11138.03,Leasing,France
58,2021-11-28,CL0543,DL002,SP015,Mitsubishi,Town Box,2,10876.71,21753.42,Cash,Germany
59,2023-08-08,CL0021,DL006,SP003,ROLLS ROYCE,DAWN SILVER BULLET,3,437470.35,1312411.05,Cash,Brazil
60,2021-12-20,CL0403,DL004,SP019,Mitsubishi,ASX (Outlander Sport),3,23246.8,69740.4,Leasing,Brazil
61,2022-05-24,CL0117,DL003,SP016,Mazda,Capella,2,12819.26,25638.52,Financing,Germany
62,2022-11-08,CL0055,DL014,SP016,Ford,F-150 Raptor,1,63681.33,63681.33,Financing,Spain
63,2022-04-06,CL0569,DL014,SP008,Volkswagen,Tiguan Allspace,2,37173.37,74346.74,Leasing,Spain
64,2022-10-12,CL0347,DL001,SP001,Mazda,Cronos,3,18617.18,55851.54,Financing,Spain
65,2020-04-20,CL0196,DL006,SP020,Porsche,Panamera Base,1,88471.25,88471.25,Leasing,Spain
66,2022-03-20,CL0251,DL007,SP002,Cadillac,Escalade ESV,3,85961.78,257885.34,Financing,Australia
67,2024-10-12,CL0661,DL003,SP001,Tesla,Model X Plaid,3,108346.36,325039.08,Leasing,Japan
68,2023-06-18,CL0621,DL010,SP009,Acura,RDX Platinum Elite,3,54852.81,164558.43,Cash,France
69,2023-05-01,CL0059,DL011,SP020,Mitsubishi,ASX Dynamic,3,23318.77,69956.31,Leasing,Spain
70,2023-04-05,CL0735,DL007,SP013,Chevrolet,Traverse,1,34956.04,34956.04,Cash,USA
71,2023-04-13,CL0389,DL003,SP006,Tata Motors,Indigo LX,1,6925.09,6925.09,Leasing,Japan
72,2022-07-27,CL0703,DL011,SP016,Volkswagen,Arteon,3,43824.68,131474.04,Leasing,Brazil
73,2021-09-21,CL0683,DL011,SP003,MERCEDES,BENZ GLE 53,3,71603.34,214810.02,Leasing,Brazil
74,2022-06-14,CL0297,DL013,SP002,TOYOTA,TACOMA,1,24613.81,24613.81,Cash,USA
75,2023-07-10,CL0547,DL007,SP004,Jaguar Land Rover,Jaguar XJ,1,83810.93,83810.93,Leasing,Italy
76,2021-08-31,CL0744,DL006,SP009,Mitsubishi,L200 Barbarian X,2,31282.05,62564.1,Financing,Spain
77,2020-03-04,CL0603,DL014,SP016,Porsche,911 Carrera,2,103265.61,206531.22,Leasing,Japan
78,2022-03-11,CL0398,DL011,SP014,Chevrolet,Tahoe Midnight Edition,3,63141.03,189423.09,Financing,Italy
79,2021-06-20,CL0015,DL007,SP016,Cadillac,Escalade ESV,1,80561.08,80561.08,Financing,Brazil
80,2023-04-06,CL0460,DL004,SP012,MERCEDES,BENZ GLA 45,3,52414.83,157244.49,Financing,China
81,2021-11-13,CL0494,DL010,SP014,Nissan,Skyline,1,54747.75,54747.75,Cash,Brazil
82,2020-03-10,CL0409,DL010,SP018,AUDI,RS7 SPORTBACK,3,108209.4,324628.2,Leasing,Brazil
83,2022-10-10,CL0007,DL003,SP003,Kia,Niro Plug-In Hybrid,1,30793.68,30793.68,Cash,Spain
84,2024-01-21,CL0071,DL005,SP008,GMC,Sierra 2500HD Denali Black Edition,1,80109.67,80109.67,Financing,UK
85,2022-10-25,CL0634,DL001,SP019,Bugatti,La Voiture Noire,3,19065025.25,57195075.75,Cash,USA
86,2024-08-25,CL0337,DL007,SP009,Mazda,Capella Cargo,2,18069.96,36139.92,Financing,France
87,2020-09-02,CL0622,DL015,SP003,MERCEDES,BENZ GLC 43,3,57412.56,172237.68,Financing,Germany
88,2020-10-27,CL0600,DL003,SP015,Acura,RDX SH-AWD,3,54584.36,163753.08,Financing,USA
89,2020-06-23,CL0593,DL002,SP018,Nissan,Paladin,1,21105.53,21105.53,Financing,Spain
90,2023-05-03,CL0360,DL011,SP003,Peugeot,e-208,2,36933.18,73866.36,Leasing,UK
91,2024-01-15,CL0451,DL010,SP010,HYUNDAI,Veloster,1,25402.35,25402.35,Leasing,China
92,2024-10-01,CL0188,DL005,SP013,Jaguar Land Rover,Jaguar F-Type SVR,3,123315.27,369945.81,Cash,Australia
93,2023-11-21,CL0609,DL010,SP008,Acura,RDX Platinum Elite,1,50092.23,50092.23,Leasing,UK
94,2021-06-11,CL0573,DL002,SP017,Peugeot,3008,2,28882.11,57764.22,Leasing,China
95,2021-02-05,CL0162,DL004,SP020,Mazda,MX-6,2,18502.2,37004.4,Financing,Germany
96,2023-06-10,CL0691,DL012,SP007,Jaguar Land Rover,Jaguar XE S,1,58416.08,58416.08,Leasing,Germany
97,2020-08-09,CL0611,DL006,SP001,Porsche,Macan GTS,1,77693.58,77693.58,Leasing,Japan
98,2023-01-10,CL0203,DL005,SP011,Chevrolet,Spark Activ,3,16314.41,48943.23,Leasing,Italy
99,2023-06-30,CL0409,DL002,SP015,Acura,TLX 2.4L,2,34434.45,68868.9,Leasing,USA
100,2020-08-26,CL0434,DL008,SP012,Mazda,CX-8,2,34220.71,68441.42,Cash,France
101,2024-07-06,CL0222,DL004,SP010,Jaguar Land Rover,Jaguar I-PACE Electric Performance,3,80120.27,240360.81,Cash,Brazil
102,2021-10-17,CL0602,DL001,SP018,Mitsubishi,Outlander ES,2,28388.91,56777.82,Leasing,Italy
103,2024-07-17,CL0236,DL013,SP001,Porsche,Cayenne Platinum Edition,2,84420.26,168840.52,Leasing,Australia
104,2020-10-05,CL0056,DL003,SP003,Mitsubishi,Attrage,3,16442.09,49326.27,Leasing,China
105,2020-01-14,CL0654,DL013,SP017,Jaguar Land Rover,Jaguar F-PACE,1,32745.55,32745.55,Leasing,Germany
106,2024-03-16,CL0446,DL005,SP020,Volkswagen,Jetta Hybrid,3,25635.91,76907.73,Cash,China
107,2023-04-17,CL0094,DL013,SP004,TOYOTA,TACOMA,3,26585.59,79756.77,Leasing,USA
108,2023-03-31,CL0170,DL012,SP017,BMW,114i,2,24968.93,49937.86,Cash,Spain
109,2020-08-20,CL0540,DL009,SP016,Kia,Niro SX Hybrid,2,36517.89,73035.78,Financing,Australia
110,2024-09-09,CL0174,DL014,SP007,BMW,120D XDRIVE,2,41325.44,82650.88,Leasing,Germany
111,2021-12-24,CL0416,DL015,SP015,KIA,SPORTAGE X-LINE,1,31167.09,31167.09,Cash,Japan
112,2024-12-21,CL0645,DL006,SP016,Chevrolet,Silverado 1500 Trail Boss,2,51945.35,103890.7,Cash,Brazil
113,2021-12-19,CL0682,DL001,SP002,ROLLS ROYCE,GHOST EXTENDED,3,343071.62,1029214.86,Cash,Japan
114,2021-06-25,CL0647,DL009,SP001,ROLLS ROYCE,GHOST ZENITH,1,358749.12,358749.12,Financing,Spain
115,2020-12-24,CL0763,DL014,SP007,Peugeot,5008 Allure Premium,1,38094.05,38094.05,Financing,UK
116,2024-06-13,CL0152,DL011,SP002,KIA,SPORTAGE LX,1,28467.73,28467.73,Financing,Australia
117,2022-05-17,CL0599,DL001,SP015,Jeep,Wagoneer,2,69125.83,138251.66,Leasing,Germany
118,2021-10-17,CL0306,DL005,SP011,Volkswagen,Polo GTI R5,2,46285.77,92571.54,Leasing,Germany
119,2023-12-28,CL0084,DL012,SP001,Nissan,GT-R LM NISMO,1,657986.17,657986.17,Leasing,UK
120,2022-03-19,CL0692,DL013,SP005,Tata Motors,Tigor,2,8707.98,17415.96,Cash,USA
121,2023-12-07,CL0619,DL005,SP013,Acura,RDX SH-AWD,3,48135.93,144407.79,Cash,USA
122,2020-10-07,CL0549,DL005,SP006,HONDA,CIVIC HATCHBACK,2,27999.78,55999.56,Financing,UK
123,2020-09-05,CL0679,DL012,SP017,Volkswagen,Golf R32,1,41914.75,41914.75,Leasing,Germany
124,2023-12-24,CL0533,DL007,SP014,Acura,NSX GT3 (Track Version),3,143305.14,429915.42,Cash,China
125,2024-07-17,CL0165,DL013,SP015,Ford,Edge,1,37970.25,37970.25,Cash,Spain
126,2022-09-06,CL0587,DL001,SP005,Volkswagen,Polo Vivo,1,13105.16,13105.16,Financing,China
127,2020-04-30,CL0068,DL002,SP003,Nissan,Qashqai Tekna,1,38630.18,38630.18,Leasing,Australia
128,2023-09-06,CL0222,DL001,SP020,Volkswagen,Scirocco,3,36616.37,109849.11,Cash,Germany
129,2023-12-11,CL0757,DL015,SP018,Jaguar Land Rover,Jaguar XF,1,46010.11,46010.11,Leasing,Australia
130,2020-11-25,CL0507,DL005,SP016,Porsche,Cayenne Base,1,73162.12,73162.12,Financing,USA
131,2020-11-04,CL0525,DL002,SP017,Peugeot,5008,1,35272.63,35272.63,Financing,France
132,2020-10-03,CL0551,DL007,SP009,Porsche,Macan Base,1,55279.22,55279.22,Cash,Australia
133,2022-03-17,CL0794,DL007,SP001,HYUNDAI,Veloster,2,24457.56,48915.12,Leasing,Australia
134,2024-07-23,CL0784,DL003,SP020,Nissan,Prairie,1,18730.88,18730.88,Financing,Italy
135,2022-05-15,CL0394,DL014,SP005,Chevrolet,Camaro SS,1,42178.33,42178.33,Cash,France
136,2023-02-01,CL0474,DL010,SP009,Chevrolet,Trailblazer,2,23035.26,46070.52,Cash,Brazil
137,2021-01-28,CL0205,DL001,SP017,Porsche,Taycan 4S,2,113736.56,227473.12,Leasing,Italy
138,2020-09-04,CL0372,DL008,SP013,MERCEDES,BENZ EQS 53,3,109432.31,328296.93,Financing,Brazil
139,2021-09-12,CL0632,DL004,SP004,Ford,Taurus,3,29696.43,89089.29,Leasing,Japan
140,2023-01-27,CL0310,DL002,SP013,Volkswagen,ID.4 GTX,2,45536.47,91072.94,Cash,Australia
141,2022-03-31,CL0338,DL009,SP018,GMC,Sierra 1500 Denali Ultimate,1,75676.6,75676.6,Financing,China
142,2021-06-04,CL0582,DL013,SP007,GMC,Yukon XL Denali Reserve,2,84529.26,169058.52,Financing,Japan
143,2021-10-11,CL0715,DL006,SP012,Mazda,MX-30 Electric,1,31810.34,31810.34,Financing,UK
144,2021-10-27,CL0647,DL001,SP001,Kia,Soul GT Designer Edition,1,23526.54,23526.54,Leasing,UK
145,2021-02-07,CL0326,DL010,SP017,Tesla,Model X,2,104776.43,209552.86,Financing,Australia
146,2024-05-16,CL0065,DL004,SP006,Mitsubishi,Sigma,3,34149.44,102448.32,Cash,China
147,2021-12-25,CL0165,DL009,SP004,Kia,Niro EX,3,29038.44,87115.32,Leasing,Australia
148,2022-08-12,CL0691,DL007,SP014,Acura,MDX SH-AWD,2,54308.42,108616.84,Financing,Japan
149,2023-05-08,CL0451,DL006,SP007,Nissan,Avenir,3,18915.86,56747.58,Cash,China
150,2024-03-05,CL0337,DL001,SP013,Nissan,Atlas,3,37395.5,112186.5,Cash,UK
151,2022-09-15,CL0448,DL003,SP016,Porsche,Panamera 4S,1,96393.72,96393.72,Cash,UK
152,2023-06-04,CL0457,DL015,SP005,Mazda,929,2,25913.86,51827.72,Financing,Italy
153,2020-11-12,CL0340,DL004,SP016,Mazda,787B (Race Car),1,5143114.62,5143114.62,Financing,Germany
154,2024-12-04,CL0196,DL004,SP003,Peugeot,208 PSE (Peugeot Sport Engineered),3,42309.64,126928.92,Cash,Japan
155,2024-10-13,CL0201,DL006,SP009,Nissan,200SX,3,27146.72,81440.16,Leasing,Italy
156,2024-12-25,CL0401,DL015,SP004,FERRARI,F8 SPIDER,3,259284.8,777854.4,Leasing,Italy
157,2021-09-29,CL0104,DL010,SP013,Mazda,RX-7,2,32771.43,65542.86,Cash,Germany
158,2022-07-22,CL0223,DL003,SP013,Mazda,626,2,19768.33,39536.66,Cash,Germany
159,2024-08-31,CL0413,DL013,SP009,Nissan,Ariya Empower+,2,66788.68,133577.36,Cash,Italy
160,2022-07-01,CL0596,DL004,SP014,LAMBORGHINI,URUS GRAPHITE CAPSULE,2,255579.37,511158.74,Cash,Spain
161,2020-08-01,CL0189,DL002,SP014,TOYOTA,AYGO X,2,19518.05,39036.1,Cash,Japan
162,2021-06-15,CL0084,DL014,SP007,GMC,Sierra EV Denali,3,107652.42,322957.26,Leasing,Japan
163,2023-02-03,CL0731,DL010,SP012,Chevrolet,Silverado 2500HD LTZ,2,52886.78,105773.56,Financing,Australia
164,2023-11-01,CL0630,DL002,SP010,Volkswagen,T-Roc,2,32872.86,65745.72,Leasing,Brazil
165,2021-12-19,CL0735,DL008,SP003,Kia,Niro SX Hybrid,3,38029.88,114089.64,Leasing,Australia
166,2020-06-09,CL0508,DL008,SP010,Nissan,Gloria,2,31214.59,62429.18,Cash,UK
167,2022-09-14,CL0704,DL010,SP004,Volkswagen,Golf R32,1,39207.11,39207.11,Cash,France
168,2021-12-30,CL0457,DL001,SP008,GMC,Canyon AT4,1,47330.12,47330.12,Cash,Spain
169,2022-02-02,CL0686,DL015,SP006,Nissan,President,1,63453.3,63453.3,Leasing,Germany
170,2020-02-23,CL0112,DL007,SP007,Volkswagen,T-Roc Cabriolet,2,35372.18,70744.36,Leasing,UK
171,2020-04-04,CL0193,DL014,SP002,Ford,Transit Custom,2,37642.79,75285.58,Leasing,Italy
172,2020-06-07,CL0299,DL008,SP018,Porsche,911 Dakar Limited Edition,2,216134.06,432268.12,Leasing,China
173,2020-11-02,CL0282,DL004,SP002,LAMBORGHINI,HURACAN SPYDER,2,312396.64,624793.28,Leasing,China
174,2023-08-21,CL0440,DL004,SP020,Nissan,Silvia S15 Spec-R,2,37488.11,74976.22,Leasing,USA
175,2020-11-25,CL0315,DL010,SP017,Jaguar Land Rover,Jaguar X-TYPE,3,40808.91,122426.73,Leasing,China
176,2021-09-28,CL0299,DL006,SP009,Jaguar Land Rover,Jaguar E-PACE,3,54166.86,162500.58,Cash,China
177,2020-10-18,CL0330,DL010,SP014,Tata Motors,Nexon,1,15360.96,15360.96,Leasing,China
178,2020-02-05,CL0012,DL002,SP004,Mazda,CX-60,1,38913.54,38913.54,Leasing,Italy
179,2020-02-27,CL0143,DL003,SP007,NISSAN,SENTRA,3,19372.32,58116.96,Leasing,Australia
180,2023-12-12,CL0106,DL015,SP008,Tata Motors,Zest,1,7889.22,7889.22,Leasing,Spain
181,2020-01-23,CL0039,DL001,SP019,HYUNDAI,Azera,1,57339.75,57339.75,Leasing,Germany
182,2024-12-03,CL0052,DL011,SP017,Nissan,Rasheen,3,9251.98,27755.94,Leasing,USA
183,2022-06-21,CL0024,DL007,SP005,Kia,Forte LXS,3,20823.01,62469.03,Financing,Australia
184,2022-06-07,CL0300,DL009,SP013,Jeep,Jeep Cherokee X Edition,3,44091.04,132273.12,Financing,Japan
185,2020-12-09,CL0599,DL013,SP009,Porsche,718 Cayman S,3,76528.06,229584.18,Cash,Japan
186,2022-11-04,CL0286,DL003,SP006,LAMBORGHINI,HURACAN EVO SPYDER,1,260769.39,260769.39,Financing,Australia
187,2020-03-16,CL0528,DL005,SP015,Nissan,200SX,2,28865.67,57731.34,Financing,Japan
188,2023-07-23,CL0731,DL015,SP013,GMC,Acadia Denali Ultimate,3,54544.11,163632.33,Leasing,Spain
189,2021-07-12,CL0191,DL015,SP002,Peugeot,508 SW (Station Wagon),3,33535.38,100606.14,Leasing,France
190,2021-11-28,CL0023,DL008,SP019,Porsche,Taycan 4S,2,98252.46,196504.92,Cash,China
191,2022-09-22,CL0328,DL013,SP013,Volkswagen,Touareg,1,57395.01,57395.01,Leasing,China
192,2021-07-07,CL0192,DL008,SP009,Mazda,Etude,3,15061.12,45183.36,Leasing,Germany
193,2021-11-23,CL0118,DL001,SP006,Ford,Fusion (Mondeo),3,25642.27,76926.81,Financing,Brazil
194,2020-05-11,CL0177,DL006,SP012,Ford,F-250 Super Duty,2,38688.36,77376.72,Leasing,France
195,2021-02-18,CL0217,DL007,SP010,Volvo,Volvo FH16,2,164757.01,329514.02,Cash,France
196,2024-11-27,CL0305,DL010,SP002,Mitsubishi,eK Space,3,10839.55,32518.65,Leasing,USA
197,2020-02-15,CL0605,DL014,SP016,AUDI,E-TRON SPORTBACK,1,84115.95,84115.95,Cash,Japan
198,2023-01-11,CL0183,DL002,SP006,Kia,EV6 AWD GT-Line,2,54278.32,108556.64,Financing,China
199,2024-11-26,CL0284,DL001,SP016,Mitsubishi,Fuso Fighter (Truck),3,73609.26,220827.78,Financing,France
200,2022-08-07,CL0047,DL006,SP011,Chevrolet,Colorado WT,3,31724.87,95174.61,Leasing,France
201,2020-10-26,CL0363,DL015,SP009,Nissan,Infiniti QX55*,3,49388.13,148164.39,Cash,Brazil
202,2020-08-01,CL0491,DL006,SP007,LAMBORGHINI,HURACAN STO,1,327630.11,327630.11,Financing,UK
203,2020-08-05,CL0261,DL004,SP006,LAMBORGHINI,HURACAN SPYDER,1,300037.93,300037.93,Cash,France
204,2020-04-11,CL0420,DL015,SP015,Porsche,911 Turbo Cabriolet Lightweight,3,189182.32,567546.96,Leasing,China
205,2023-01-21,CL0377,DL010,SP003,Peugeot,308 Allure,3,22798.02,68394.06,Cash,Australia
206,2024-10-19,CL0126,DL012,SP019,Chevrolet,Bolt EV,3,28135.59,84406.77,Leasing,UK
207,2024-08-05,CL0545,DL015,SP017,Mazda,787B (Race Car),3,4680269.24,14040807.72,Financing,France
208,2023-09-09,CL0451,DL006,SP001,Cadillac,Escalade V,1,155468.78,155468.78,Cash,Japan
209,2020-10-23,CL0211,DL011,SP003,Bugatti,La Voiture Noire,3,18609891.29,55829673.87,Financing,Brazil
210,2024-10-08,CL0487,DL010,SP015,AUDI,A8,1,77742.69,77742.69,Financing,USA
211,2023-01-15,CL0091,DL008,SP016,Mitsubishi,Endeavor,1,26846.13,26846.13,Financing,France
212,2022-01-11,CL0587,DL003,SP020,Nissan,Sylphy,3,18034.46,54103.38,Leasing,Japan
213,2020-04-07,CL0569,DL006,SP012,Jaguar Land Rover,Jaguar F-PACE P400e Plug-in Hybrid,3,76124.37,228373.11,Cash,China
214,2022-05-05,CL0378,DL010,SP004,Mazda,Cronos,1,19286.01,19286.01,Leasing,USA
215,2021-04-17,CL0653,DL010,SP013,GMC,Sierra 2500HD,3,46107.47,138322.41,Cash,China
216,2023-10-28,CL0508,DL007,SP010,Jaguar Land Rover,Jaguar F-Type Heritage Edition,2,111340.34,222680.68,Leasing,France
217,2021-05-07,CL0062,DL003,SP015,Volkswagen,Santana,3,16312.6,48937.8,Leasing,France
218,2022-09-14,CL0713,DL014,SP015,Kia,Sorento SX Prestige,3,45630.81,136892.43,Financing,USA
219,2022-09-22,CL0130,DL001,SP014,Volkswagen,Multivan,3,45405.16,136215.48,Cash,Japan
220,2024-08-10,CL0661,DL004,SP002,BMW,118i SHADOW LINE,2,37606.64,75213.28,Leasing,Italy
221,2024-02-03,CL0295,DL011,SP015,Cadillac,Escalade V,3,140394.49,421183.47,Financing,USA
222,2020-07-17,CL0412,DL005,SP003,Cadillac,Escalade,3,82139.29,246417.87,Leasing,UK
223,2022-01-13,CL0089,DL007,SP016,Porsche,911 GT2 RS,1,305103.5,305103.5,Leasing,UK
224,2022-05-19,CL0173,DL015,SP001,Mazda,Parkway,2,21474.69,42949.38,Cash,Brazil
225,2020-10-01,CL0638,DL003,SP016,HYUNDAI,Elantra,1,20722.24,20722.24,Cash,France
226,2023-08-08,CL0741,DL011,SP005,Nissan,Pathfinder Armada Platinum,1,74822.96,74822.96,Leasing,Italy
227,2024-03-15,CL0539,DL010,SP005,Volkswagen,ID. Buzz Cargo EV,3,59747.85,179243.55,Leasing,Japan
228,2020-12-11,CL0211,DL003,SP019,Nissan,Cube,1,15047.51,15047.51,Leasing,USA
229,2024-02-23,CL0018,DL003,SP018,AUDI,A4,1,41582.24,41582.24,Financing,Australia
230,2020-11-11,CL0107,DL010,SP012,Mazda,CX-80,1,44061.79,44061.79,Leasing,Germany
231,2024-07-02,CL0223,DL010,SP018,Jaguar Land Rover,Jaguar XE R-Dynamic,1,64590.69,64590.69,Cash,China
232,2020-07-15,CL0028,DL005,SP003,Volkswagen,Touareg,1,54637.17,54637.17,Leasing,Australia
233,2023-08-04,CL0774,DL004,SP002,LAMBORGHINI,HURACAN PERFORMANTE,1,260434.84,260434.84,Leasing,Australia
234,2022-05-26,CL0636,DL005,SP018,Nissan,NV400,1,41792.59,41792.59,Financing,UK
235,2024-08-04,CL0281,DL010,SP013,Peugeot,5008 Allure Premium,2,37651.85,75303.7,Leasing,China
236,2021-03-27,CL0797,DL014,SP010,NISSAN,TITAN,3,43610.79,130832.37,Leasing,Italy
237,2020-02-21,CL0669,DL013,SP008,GMC,Yukon XL AT4,1,67443.96,67443.96,Cash,Australia
238,2020-03-01,CL0079,DL002,SP014,GMC,Sierra HD Denali Reserve,3,81996.04,245988.12,Cash,France
239,2023-04-26,CL0507,DL008,SP018,Porsche,911 Targa 4 Lightweight,3,132780.6,398341.8,Leasing,France
240,2022-07-11,CL0555,DL003,SP005,HYUNDAI,ELANTRA,2,18432.45,36864.9,Cash,Spain
241,2021-03-08,CL0110,DL012,SP018,Mitsubishi,Colt,1,14112.87,14112.87,Cash,China
242,2021-05-04,CL0034,DL003,SP005,Volkswagen,Teramont,3,33755.52,101266.56,Cash,Australia
243,2022-12-06,CL0541,DL006,SP016,LAMBORGHINI,AVENTADOR S,3,441280.76,1323842.28,Leasing,UK
244,2023-06-16,CL0284,DL012,SP019,Mazda,Luce,2,15998.85,31997.7,Leasing,UK
245,2022-09-30,CL0771,DL009,SP010,Nissan,NX Coupe,3,17685.61,53056.83,Cash,Italy
